GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DemoBank_v1,com.beko.DemoBank_v1.models,Transact,59,0,0,0,25,0,17,0,17,0
DemoBank_v1,com.beko.DemoBank_v1.models,Account,59,0,0,0,25,0,17,0,17,0
DemoBank_v1,com.beko.DemoBank_v1.models,TransferRequest,24,0,0,0,10,0,7,0,7,0
DemoBank_v1,com.beko.DemoBank_v1.models,User,70,10,0,0,30,4,20,3,20,3
DemoBank_v1,com.beko.DemoBank_v1.models,TransactionHistory,59,0,0,0,25,0,17,0,17,0
DemoBank_v1,com.beko.DemoBank_v1.models,PaymentHistory,66,0,0,0,28,0,19,0,19,0
DemoBank_v1,com.beko.DemoBank_v1.models,PaymentRequest,38,0,0,0,16,0,11,0,11,0
DemoBank_v1,com.beko.DemoBank_v1.models,Payment,66,0,0,0,28,0,19,0,19,0
DemoBank_v1,com.beko.DemoBank_v1.helpers,Token,8,0,0,0,3,0,2,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.helpers,HTML,29,0,0,0,4,0,2,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.helpers,GenAccountNumber,17,0,0,0,5,0,2,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.mailMessenger,MailMessenger,31,0,0,0,10,0,2,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.controller_advisor,AdvisorController,7,0,0,0,2,0,2,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.exception,CustomError,10,0,0,0,4,0,2,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.exception,GlobalExceptionHandler,11,0,2,0,4,0,3,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.config,AppConfig,85,0,0,0,20,0,4,0,4,0
DemoBank_v1,com.beko.DemoBank_v1.config,MailConfig,44,0,0,0,12,0,2,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.interceptors,AppInterceptor,141,0,12,0,27,0,10,0,4,0
DemoBank_v1,com.beko.DemoBank_v1.controllers,AccountController,57,0,6,0,13,0,5,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.controllers,IndexController,36,0,2,0,10,0,4,0,3,0
DemoBank_v1,com.beko.DemoBank_v1.controllers,AppController,0,122,0,0,0,28,0,5,0,5
DemoBank_v1,com.beko.DemoBank_v1.controllers,RegisterController,116,0,8,0,28,0,6,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.controllers,AuthController,152,0,14,0,34,0,10,0,3,0
DemoBank_v1,com.beko.DemoBank_v1.controllers,TransactController,518,0,38,0,101,0,24,0,5,0
DemoBank_v1,com.beko.DemoBank_v1,DemoBankV1Application,8,0,0,0,3,0,2,0,2,0
DemoBank_v1,com.beko.DemoBank_v1.helpers.authorization,JwtService,69,0,2,0,22,0,6,0,5,0
